artist,title,album,date,lyrics,top_ranking
Fall Out Boy,Disloyal Order of Water Buffaloes,Folie A Deux,1/1/2008,"I'm coming apart at the seams
Pitching myself for leads in other people's dreams
Now buzz, buzz, buzz
Doc, there's a hole where something was
Doc, there's a hole where something was

Fell out of bed, butterfly bandage, but don't worry
You'll never remember, your head is far too blurry
Put him in the back of a squad car, restrain that man
He needs his head put through a cat scan
Hey editor, I'm undeniable
Hey Doctor, I'm certifiable

Oh, I'm a loose bolt of a complete machine
What a match, I'm half doomed and you're semi-sweet

So boycott love
Detox just to retox
And I'd promise you anything for another shot at life
Perfect boys
With their perfect lives
Nobody wants to hear you sing about tragedy
(Wants to hear you sing about tragedy)

Oh, little girl, you got me staring odd
Or was that just a telescopic camera nod
Painted dolls in the highway, truck stop stalls
Lot lizards scales cool my nightlife moods
All the rookies leave your badge and your gun on the desk, when you leave the room

I'm a loose bolt of a complete machine
What a match, I am half doomed and you're semi-sweet

So boycott love
Detox just to retox
And I'd promise you anything for another shot at life
Perfect boys
With their perfect lives
Nobody wants to hear you sing about tragedy
(Wants to hear you sing about tragedy)

(Detox just to retox)
(Detox just to retox)
(Detox just to retox)
(Detox just to retox)
So boycott love
(Detox just to retox)
(Detox just to retox)
Boycott love
(Detox just to retox)
Boycott love
(Detox just to retox)

So boycott love
Detox just to retox
And I'd promise you anything for another shot at life
Perfect boys
With their perfect lives
Nobody wants to hear you sing about tragedy
(Wants to hear you sing')

Nobody wants to hear you sing about tragedy
(Wants to hear you sing about tragedy)
Whoa",8
The Ergs,1000 Letters,"Hindsight is 20/20, My Friend",1/1/2008,"It's 3 AM and I hope you get this note
I've been sitting, I've been thinking
Man it's been so hard to cope
And I took your stupid pictures from off of the mantle shelf
But I can't erase your voices from my head
Is it too soon because..
Remember when I told you that we couldn't work it out?
Remember when I told you all about these stupid doubts?
Well I wrote 1000 letters couldn't send a single one
Telling you that I have changed my mind
And you won't let me get you off my mind..
What can I do?
It hurts like hell but hell, what can I do?
It's been a couple weeks and still I've gotten no reply
I've been sitting, contemplating, forcing myself not to cry
And I can't help but think that everything has gone all wrong
And I miss hearing you tell me ""it's alright""
Is it too soon because..
Remember when I told you that we couldn't work it out?
Remember when I told you all about these stupid doubts?
Well I wrote 1000 letters couldn't send a single one
Telling you that I have changed my mind
And you won't let me get you off my mind..
What can I do?
It hurts like hell but hell, what can I do?
You've got a lot of problems
And I'd love to help you out
But my train leaves at 1:30 and its 1:28 now..
I'm burning all your pictures
No thanks for the memories
DON'T FORGET TO LOSE MY NUMBER AND REMEMBER TO FORGET IT NOW!",NA
The Ergs,Beautiful,"Hindsight is 20/20, My Friend",1/1/2008,"Its over
I know that
I knew that before it even was
I know dead love
Doesn't grow back
But my naive advisers swear it does
I'm not the only fool around
Who's been a slave to a hint of meaning
Once you start to fool around I have direction
I have desperate leaning
Oh oh, feeling like I'm seeing things...
It's not my fault, I love you so
It wasn't my wish for you to let me go
I promise that I'll try to keep this cool
Tell me though, must you be so Beautiful?
Your lover
How is he?
Does he do it just the way you want to?
What happens when he's busy?
Do you get lonely when he doesn't want you?
It drives me crazy when you tell me that you really wanna be
Just my chum...
Ive got a bottle fully of healthy dripping love and you won't even try some
Oh oh, quick, phone the asylum
It's not my fault, I love you so
It wasn't my wish for you to let me go
I promise that I'll try to keep this cool
Tell me though, must you be so Beautiful?
I can handle your sweet voice
On the telephone line
I can handle your beat choice
To leave me alone, Fine!
I can handle the fact you said you'd found me rather dull
But must you be so mercilessy Beautiful??
Its over
I know that
I knew that before it even was
I know dead love
Doesn't grow back
But my naive advisers swear it does
I'm not the only fool around
Who's been a slave to a hint of meaning
Once you start to fool around I have direction
I have desperate leaning
Oh oh, feeling like I'm seeing things...
It's not my fault, I love you so
It wasn't my wish for you to let me go
I promise that I'll try to keep this cool
Tell me though, must you be so beautiful?",NA
The Ergs,Every Romance Language,"Hindsight is 20/20, My Friend",1/1/2008,"There were times when if i told you this, you would've been impressed
And in time, those days might make their way back
I won't hold my breath
There were times where we were stupid kids
And it was all a game
But as for now, this is the best night of my life
And if you were here
I know you'd love it so
I wish you were here
Because i love you so
And these are things i often think about
But it's a waste of time
'cause you're not here
I'm not sober
It's not 1999
And these are things i often think about
But it's all in the past
And as for now, this is the best night of my life
And if you were here
I'd say i love you so
I wish you were here
But you're not
And every romance language says you sound the same",NA
The Ergs,Feeling Minneapolis,"Hindsight is 20/20, My Friend",1/1/2008,"And so the guy gets the girl but unfortunately the guy ain't me
I think I've read this book a few times before
I know the plot like the back of my hand
And the subject matters more than I can stand
But I can't seem to ever put it down
She's the queen of my dreams but unfortunately she's M.I.A
And I'm clueless as to where she could be
And I wrote this letter 1000 times to you
But there's nowhere to send it to
Where the hell are you?
Take me to the skyway
I'm sure that Westerberg would say
I'm Feeling Minneapolis again...",NA
The Ergs,Introducing Morrissey,"Hindsight is 20/20, My Friend",1/1/2008,"The last album I loved
The whole way through
Was by a band that had formed
In 1982
I was barely alive
I had some thinking to do
But once I figured it out
I was in love and I knew that I
Would be in love forever
The last girl that I loved
She kind of looked like you
She had a beat up guitar
And an awesome tattoo
But she was breaking my heart
I had some learnin' to do
And once I figured it out
I was in love and I knew that I
Would be in love forever
Well I, would be in love forever
I wish I could get you to call me
I wish that you would stand here beside me
But I will never be with you
I wish my mind would trip to way back when
You were a friend of a friend of a friend of a friend
Life is long when you're lonely
Life is long when you're lonely
The last album I loved
The whole way through
Was by a band that had formed
In 1982
I was barely alive
I had some learnin' to do
But once I figured it out
I was in love and I knew that I
Would be in love forever
Well I, would be in love forever
Well I, would be in love forever
Life is long when you're lonely
Life is long when you're lonely
Life is long when you're lonely
Life is long when you're lonely",NA
The Ergs,It's Like I Say Y'Know,"Hindsight is 20/20, My Friend",1/1/2008,"They cut down the trees behind the bus stop
They tore down the innocent wonders of my youth
And it's like I always say you know?
I remember when bears used to live there
Indians in tepees sent out signals with a rug
And it's like I always say you know?
And it's like I always say you know?
Things used to be so big (and I used to feel so small)
Things used to be so new (when did they get so old?)
Things used to be so... Better
My father used to work in asbestos
Now I'm not exactly sure what he does with his time
His kids are all grown up now
I'll bet he's wondering what happened to all that time
And it's like I always say you know?
And it's like I always say you know?
Things used to be so big (and I used to feel so small)
Things used to be so new (when did they get so old?)
Things used to be so... Better",NA
The Ergs,Jazz Is Like the New Coke,"Hindsight is 20/20, My Friend",1/1/2008,"Everybody's talkin', everyone's recallin' the reasons you're so cool
Well, I can name a few. You could say that I'm in love
That's when you say ""Alright, It's been such a long night,""
And you're spoken for
Guess I should have known, well I'll see you sometime soon
He makes your heart skip, and I make an exit
He makes a real good boyfriend, I make the long drive home
I'm the one whose wishin' that I can make you mine
But he's the one you'll be makin' out with tonight
Everybody's talkin', everyone's recallin' the reasons I'm so lame
Well, I can name a few
You could say that I'm a mess
Oh girl, I wish you were smart and I could win your heart
I'd say something nice and stare into your eyes
I'd say ""I love you so!""
He makes your heart skip, and I make an exit
He makes a real good boyfriend, I make the long drive home
I'm the one whose wishin' I that could make you mine
He must be doin' something right
Because he's the one you'll be makin' out with every night
I stumble out to find a reason every night
I wonder if you two are makin' out alright
I bet everything I have against it now
And I'll make out the check when I get home",NA
The Ergs,Nasty Ho,"Hindsight is 20/20, My Friend",1/1/2008,"You saved my soul
You made me hard and put me in your hole
Yeah, you feel so good
Dick is like a stiff hard piece of wood
Oh, I thought this was free
Don't lay guilt on me
This is larcene
You gotta let it go
Or let it flow
I told you so
That I got no dough
Or just say no
Or let it go
Cuz now I know
You're so low
You nasty ho
You are insane
To think I'd piss my money down the drain
Yeah you think I came
I'm premature ejaculation trained
You, you don't mean a thing
If my dick don't swing
Make my ding dong ring
You gotta let it go
Or let it flow
I told you so
That I got no dough
Or just say no
Or let it go
Cuz now I know
You're so low
You nasty ho
Hey Joe, whadda ya know?
You're hangin' low
I love you so",NA
The Ergs,Not a Second Time,"Hindsight is 20/20, My Friend",1/1/2008,"You know you made me cry
I see no use in wondering why
I cry for you
And now you've changed your mind
I see no reason to change mine
I cry
It's true, oh-oh-oh
You're giving me the same old line
I'm wondering why
You hurt me then
You're back again
No, no, no
Not a second time
You know you made me cry
I see no use in wondering why
I cry for you, yeah
And now you've changed your mind
I see no reason to change mine
I cry
It's you, oh-oh-h
You're giving me the same old line
I'm wond'ring why
You hurt me then
You're back again
No, no, no
Not a second time
Not a second time
Not a second time
No, no, no, no, no
Not a second time
...",NA
The Ergs,Warm & Sharp,"Hindsight is 20/20, My Friend",1/1/2008,"I, I get so anxious
My god, how it does it burn
I get so uptight around my friends
I never feel more treacherous
Sometimes I don't feel like being close
Sometimes I can't let go
Last night, I had a dream
Only I would understand
Vast lands of confusion
I visit every time, clawing through my gut
And when you think about it
It seems so inevitable
That this time I'm right
About a lot of things
It hurts so much to be wrong
Sometimes I don't feel like being close
Sometimes I can't let go
Knife-like hugs feeling warm and sharp
That's not a devil in my arms
Years go by between the first and the last
Standing still in the immediate past
Knife-like hugs feeling warm and sharp
Last time I try to tell you how I feel",NA
The Ergs,Anthem For A New Amanda,That's It...Bye',1/1/2008,"You can sing all you want, but I'm not a know it all
And I miss you a lot, but this ain't the time or place for dial-tones
You can sing all you want, but I'm not a know it all
You say if that's all you got, well it's a wonder we don't speak
Don't look now
You won't see me
I'm sure that you'll understand
I need an anthem for a new Amanda
One that doesn't hate my guts",NA
Simple Plan,I Can Wait Forever,Simple Plan,2/12/2008,"You look so beautiful today
When you're sitting there it's hard for me to look away
So i try to find the words that i could say
I know distance doesn't matter but you feel so far away
And I can't lie

Every time I leave my heart turns gray
And I wanna come back home to see your face tonight
Because I just can't take it

Another day without you with me
Is like a blade that cuts right through me
But I can wait
I can wait forever
When you call my heart stops beating
When you're gone it won't stop bleeding
But I can wait
I can wait forever

You look so beautiful today
It's like every time I turn around I see your face
The thing I miss the most is waking up next to you
When I look into your eyes
Man, I wish that I could stay and I can't lie

Every time I leave my heart turns gray
And I wanna come back home to see your face tonight
And I
Because I just can't take it

Another day without you with me
Is like a blade that cuts right through me
But I can wait
I can wait forever
When you call my heart stops beating
When you're gone it won't stop bleeding
But I can wait
I can wait forever

I know it feels like forever
I guess that's just the price I got to pay
But when I come back home to feel your touch
Makes it better
Until that day
There's nothing else that I can do
And I just can't take it
I just can't take it

Another day without you with me
Is like a blade that cuts right through me
But I can wait
I can wait forever
When you call my heart stops beating
When you're gone it won't stop bleeding
But I can wait
I can wait forever",14
Simple Plan,Save You,Simple Plan,2/12/2008,"Take a breath
I pull myself together
Just another step
Until I reach the door
You'll never know the way it tears me up inside to see you

(Oh, oh) I wish that I could tell you something
(Oh, oh) To take it all away

Sometimes I wish I could save you
And there's so many things that I want you to know
I won't give up till it's over
If it takes you forever, I want you to know

When I hear your voice
It's drowning in a whisper
It's just skin and bones
There's nothing left to take
And no matter what I do, I can't make you feel better

(Oh, oh) If only I could find the answer
(Oh, oh) To help me understand

Sometimes I wish I could save you
And there's so many things that I want you to know
I won't give up till it's over
If it takes you forever, I want you to know

That if you fall, stumble down
I'll pick you up off the ground
If you lose faith in you
I'll give you strength to pull through
Tell me you won't give up 'cause I'll be waiting if you fall
You know, I'll be there for you


(Oh, oh) If only I could find the answer
(Oh, oh) To take it all away

Sometimes I wish I could save you
And there's so many things that I want you to know
I won't give up till it's over
If it takes you forever I want you to know

(Oh, oh, oh, oh, oh, oh)
I wish I could save you
I want you to know
(Oh, oh, oh, oh, oh, oh)
I wish I could save you",14
Simple Plan,Take My Hand,Simple Plan,2/12/2008,"Hey hey
Hey hey

Sometimes I feel like everybody's got a problem
Sometimes I feel like nobody wants to solve them
I know that people say we're never gonna make it
But I know we're gonna get through this
(Close your eyes and please don't let me go)
Don't, don't, don't, don't let me go now
(Close your eyes don't let me let you go)
Don't, don't, don't

Take my hand tonight
Let's not think about tomorrow
Take my hand tonight
We could find some place to go
'Cause our hearts are locked forever
And our love will never die
Take my hand tonight
One last time

Hey hey
Hey hey

The city sleeps and we're lost in the moment
Another kiss says we're lying on the pavement
If they could see us they would tell us that we're crazy
But I know they just don't understand
(Close your eyes and please don't let me go)
Don't, don't, don't, don't let me go now
(Close your eyes don't let me let you go)
Don't, don't, don't

Take my hand tonight
Let's not think about tomorrow
Take my hand tonight
We could find some place to go
'Cause our hearts are locked forever
And our love will never die
Take my hand tonight
One last time

Hey hey
Hey hey

The raindrops
The tears keep falling
I see your face and it keeps me going
If I get lost your light's gonna guide me
And I know that you can take me home
You can take me home

Take my hand tonight
Let's not think about tomorrow
Take my hand tonight
We could find some place to go
'Cause our hearts are locked forever
And our love will never die
Take my hand tonight
One last time
Take my hand tonight
Let's not think about tomorrow
Take my hand tonight
We could find some place to go (Find some place to go)
'Cause our hearts are locked forever
And our love will never die
Take my hand tonight
One last time",14
