artist,title,album,year,lyrics
A Day to Remember,1958,And Their Name Was Treason,2005-05-10,"And shepherds we shall be
For thee my lord for thee
Power hath descended forth from thy hand
That our feet may swiftly carry out thy command
So we shall flow river forth to thee
And teeming with souls shall it ever be
In nomine patris
Et filli
Et spiritus sancti

You've sunk lower than I've ever seen
And even though you deserved this
I tried to catch your fall
I've grown so tired of your childish threats
Know that I'll never run from anything

And I'll burn the building if I knew you'd die
And I'll pray you're a failure
And that you won't make it out alive
And I'll burn the building if I knew you'd die
And I'll pray you're a failure
And that you won't make it out alive

Here's where we prove all your fairytales wrong
This all stops tonight
Swim in your sea of smoke
Until your lungs lose the fight
It's over
This all stops tonight
Or prove me wrong

What have you become through your jealousy?
You've threatened my life, my friends and family
This is your last wrong turn in your life
And this dead end leads to a blood bath
Your blood bath

And I'll burn the building if I knew you'd die
And I'll pray you're a failure
And that you won't make it out alive
And I'll burn the building if I knew you'd die
And I'll pray you're a failure
And that you won't make it out alive

Here's where we prove all your fairytales wrong
This all stops tonight
Swim in your sea of smoke
Until your lungs lose the fight
It's over
This all stops tonight
Or prove me wrong

You'll never stop us with your one-man army
We would burn him alive
You'll never stop us with your one-man army
If you're such a man then bring the fight
You'll never stop us with your one-man army
We would burn him alive
You'll never stop us with your one-man army
If you're such a man then bring the fight

This is me calling you out
You want to talk like a man, then be a man
Stop talking like you're something (We're paging 1958)
You always have so much to say but it's never to our faces
I'm right here (We're paging 1958)
We're all one and the same
We're moving on, and living our dreams (We're paging 1958)
We're all one and the same
We're moving on, and living our dreams (We're paging 1958)"
A Day to Remember,2nd Sucks,What Separates Me From You,2010-11-11,"FIGHT!

You're afraid, like I make my deals with the devil
You've been at it for years, but couldn't reach that next level
Let's keep it real, this is no competition to me
Even if everyone around you acts like they don't see

(Oh!) Is anybody else listening? Outta sight outta mind is what you'll always be
(Oh!) I hold my cards to my chest. I laid my life on the line so I expect nothing less from you

I speak the truth and everybody else knows it
So set your ego to the side and just get the fuck over it
Can't waste my time on hateful people like you
So keep wishing you were me and I'll keep making you have to

(Oh!) Is anybody else listening? Outta sight outta mind is what you'll always be
(Oh!) I hold my cards to my chest. I laid my life on the line so I expect nothing less from you

I just can't believe it's really come to this
Because without me, you would not exist

(Hey, hey!)
Still got something left to say
Only one in the world that I depend on is me
I need nothing from no one, I take what I need
Get a hold of yourself, and keep away from me

(Oh!) Is anybody else listening? Outta sight outta mind is what you'll always be
(Oh!) I hold my cards to my chest. I laid my life on the line so I expect nothing less from you"
A Day to Remember,All I Want,What Separates Me From You,2010-11-15,"I'm always screaming my lungs out 'til my head starts spinning
Playing my songs is the way I cope with life
Won't keep my voice down
Know the words I speak are the thoughts I think out loud
I like to keep things honest
I'm a safe bet like your life's staked on it, for real
I'd hate to keep you all wondering
I'm constant like the seasons
And I will never be forgotten man

Let's leave no words unspoken and save regrets for the broken
Will you even look back when you think of me?

All I want is a place to call my own
To mend the hearts of everyone who feels alone
Whoa, you know to keep your hopes up high, and your head down low
Keep your hopes up high and your head down low

Still got something left to prove
It tends to keep things movin' while everyone around me says
My last days are looming overhead
But just what the hell do they think they know?
I keep my head above the water, while they drown in the undertow

Let's leave no words unspoken and save regrets for the broken
Will you even look back when you think of me?

All I want is a place to call my own
To mend the hearts of everyone who feels alone
Whoa, you know to keep your hopes up high, and your head down low
All I want is a place to call my own
To mend the hearts of everyone who feels alone
Whoa, you know to keep your hopes up high, and your head down low

If you take it from me, live your life for yourself
Cause when it's all said and done, you don't need anyone else
C'mon!

So let's get back to when everything seemed perfect
Not a worry in the world, tell me was this all worth it?
I get what I want so everyone's always judging me
I'm not afraid of anything, I've got the whole world in front of me

All I want is a place to call my own
To mend the hearts of everyone who feels alone
Whoa, you know to keep your hopes up high, and your head down low
All I want is a place to call my own
To mend the hearts of everyone who feels alone
Whoa, you know to keep your hopes up high, and your head down low

Keep your heads down low, keep your heads down low
Keep your hopes up high, and your heads down low"
A Day to Remember,All Signs Point to Lauderdale,What Separates Me From You,2010-11-15,"I hate this town, it's so washed up, And all my friends don't give a fuck
Don't tell me that it's just bad luck When will I find where I fit in?
2, 3, 4

Remember when I tried, I never strayed too far from you
Forever by your side, No matter what I was going through
But now I never know the things to say to you
That help me prove that I'm still on your side
I never show just what you do to me, guess, I was always wrong

I hate this town, it's so washed up, and all my friends don't give a fuck
Don't tell me that it's just bad luck, When will I find where I fit in?
I hate this town

Cause no one can understand, I just can't be tied down
Nothing comes between me and my plans
So now I never know the things to say to you
That help me prove that I'm still on your side
I never show just what you do to me, Guess, I was always wrong

I hate this town, it's so washed up, and all my friends don't give a fuck
Don't tell me that it's just bad luck, When will I find where I fit in?
I hate this town

And don't believe a word they're telling to you
Don't believe a word they're telling to you
They let me down, when will I find where I fit in?
I hate this town

My world cannot ever bring me down
Gave everything I had to turn it back around
Cause our time's worth something, Bigger than both you and me
I can't live my life always backing down
I gotta do this right, then they can't make a sound
Cause I'm not here for nothing, Least I can say I stand for something
(You and me, we stand for something)

I hate this town, it's so washed up, and all my friends don't give a fuck
Don't tell me that it's just bad luck, When will I find where I fit in?
I hate this town

And don't believe a word they're telling to you
Don't believe a word they're telling to you
They let me down
When will I find where I fit in?
I hate this town"
A Day to Remember,Another Song About the Weekend,Homesick,2009-02-03,"They keep playing sad songs on the radio
And I feel like I'm so alone
On this 15-hour drive
And all the while I tell myself to just believe
Cause nobody can give so much
And never get anything
(never get anything)

Everyone I used to know
Says they don't know what I've become
But I'm still the same
Not much has changed
I still know where I came from

I fell asleep with the lights on
And I can see that you're the first one in a long time
That had some faith in me (have faith in me)
Tell my friends we won't be long
The Florida sun begs me to come back home
And it feels like I'm ready for anything
If you can wait for me

And all the while I say too much of what I think
And I can't remember what it's like to find meaning in anything
For the life of me

Everyone I used to know
Says they don't know what I've become
But I'm still the same
Not much has changed
I still know where I came from
And all I ever wanted was so far from what I need
I'll write my songs, they'll sing along, and hope time heals everything

I fell asleep with the lights on
And I can see that you're the first one in a long time
That had some faith in me (have faith in me)
Tell my friends we won't be long
The Florida sun begs me to come back home
And it feels like I'm ready for anything
If you can wait for me

This is all I have!
This is all I have!
It's my life
This is all I have!
This is all I have!

I fell asleep with the lights on
And I can see that you're the first one in a long time
That had some faith in me (have faith in me)
Tell my friends we won't be long
The Florida sun begs me to come back home
And it feels like I'm ready for anything
If you can wait for me"
A Day to Remember,Bad Vibrations,Bad Vibrations,2016-06-02,"Don't forget that this is a choice
Pick your poison
Live with remorse
Don't forget that this is a choice
Pick your poison
Live with remorse

I could burn a hole with my eyes that cuts straight through the skin
No more love, no more resolution
It's getting harder bearing the darkness within
I gotta let it out
I'm gonna let it

I can feel your bad vibrations
All around me
All consuming
Corrupting all that I am
This pain is a sickness looming over me, and I can't escape it
Casting shadows that continue to shape who I am on any given day

It's like a fog surrounds me applying pressure within
Weighing me down, seeing in double vision
It hits so hard I stu- stu- stutter my speech
Ya go kinda cold inside
Dancing on thin ice

I can feel your bad vibrations
All around me
All consuming
Corrupting all that I am
This pain is a sickness looming over me, and I can't escape it
Casting shadows that continue to shape who I am on any given day
This pain is a sickness looming over me, and I can't escape it
Casting shadows that continue to shape who I am on any given day
Toxic
Toxic
Toxic
Toxic

This darkness, this darkness
Leaves me empty like
I am the heartless
Toxic
Toxic within"
A Day to Remember,Best Of Me,Common Courtesy,2013-10-08,"What'd you expect from me?
It's not my fault you'll never be happy
Just 'cause you're right doesn't mean I'm wrong
Our days were numbered and we knew it all along
Can't you let things be?
Now all that's left is misunderstandings
Spent my nights wishing I was gone
My dad was right, we will never get along

So I'm done, 'cause things could never be the same
This is the last time, this is the last time you'll ever burden me

I can't believe you got the best of me
I can't believe I trusted every word you said
Stretched myself out way too far
Now I can see you for who you are
I can't believe you got the best of me
I can't believe I trusted every word you said
It's all finally making sense
You took what's left of my innocence
Oh no
I can't believe you got the best of me

Can't you act your age?
Is it that hard to say what you're thinking?
Lately my life's moving way too fast
You'd drag me down if I'd let you hold me back
What a mess you've made
And you hide from it at the bars you frequent
Blamed myself avoiding time this cost
But looking back you only learn from what you lost

So I'm done, 'cause things could never be the same
This is the last time, this is the last time you'll ever burden me

I can't believe you got the best of me
I can't believe I trusted every word you said
Stretched myself out way too far
Now I can see you for who you are
I can't believe you got the best of me
I can't believe I trusted every word you said
It's all finally making sense
You took what's left of my innocence
Oh no
I can't believe you got the best of me
I can't believe you got the best of me

I will never be the one you want, no I will never be the one you want
Finally come to terms that I can't stop, no not this time. (Ye-yeah)
I will never be the one you want, no I will never be the one you want
Finally come to terms that I can't stop, no not this time

I can't believe you got the best of me
I can't believe I trusted every word you said
Stretched myself out way too far
Now I can see you for who you are
I can't believe you got the best of me
I can't believe I trusted every word you said
It's all finally making sense
You took what's left of my innocence
Oh no
I can't believe you got the best of me
I can't believe you got the best of me"
A Day to Remember,Better Off This Way,What Separates Me From You,2010-11-15,"I wonder if you’ll notice, If they lock me up and throw away the key
Try to be open minded, you’ve got a lot to learn in the ways of me
You always got to say something
I’m none of your concern but you won't listen at all
You know I’d rather say nothing
And just be proud of myself for tearing down these walls

When you fall I’ll be the only one who looks away
When you call I’ll be the first to tell you I can’t stay
It’s all over, I found a better way to help keep you from me
I’m better off this way, woah-oh, woah-oh
I'm better off this way, woah-oh, woah-oh

You gotta keep this coming
Tell it like you know it but you don’t know nothing
Your call, we can settle this like gentlemen
Or meet me out the back to end it all and start again
My whole life’s spent waiting
Ever since I can remember been anticipating your fall
And God let it be a long one
Can’t let go of my grudge till I know you’re done

When you fall I’ll be the only one who looks away
When you call I’ll be the first to tell you I can’t stay
It’s all over, I found a better way to help keep you from me
I’m better off this way, woah-oh, woah-oh
I'm better off this way, woah-oh, woah-oh

You want it, you’ve got it
You’ve always been such a waste of time
You want it, you’ve got it
A friend of yours is no friend of mine
You want it, you’ve got it
When will you act your age
You want it, you’ve got it
You’re the reason things have to change

Woah-oh, woah-oh
You’re the reason things have to change
Woah-oh, woah-oh

When you fall I’ll be the only one who looks away
When you call I’ll be the first to tell you I can’t stay
It’s all over, I found a better way to help keep you from me
I’m better off this way
Woah-oh, woah-oh
I’m better off this way
Woah-oh, woah-oh
I’m better off this way"
A Day to Remember,Bullfight,Bad Vibrations,2016-07-23,"What a waste, I see you now and then
But mostly we pretend we're not more strangers than we're friends
Then we say, what we need to say, to try and get away from the tension we create

Why can't we say the things, the things we wish we would?
Why can't we laugh the way, the way we know we should?
Fall under the weight of all the pressure that's misplaced
Flaws that I embrace

Everybody sees your head’s hung low
They don't ask, they don't wanna know us
I'll be the one, I'll be your spark
I'll be your light led through the darkness
Everybody sees your head’s hung low
They don't ask, they don't wanna know us
I'll be the one, I'll be your spark
I'll be your light led through the darkness

I get
I get
I get so misunderstood

Something changed the way we interact
Now we can't get it back
Another relic of the past (Relic of the past)
Makes you think, did I ever know you at all?
Follow until I fall
Vultures circling in the sun, the sun, the sun, the sun, the sun

Why can't we say the things, the things we wish we would?
Why can't we laugh the way, the way we know we should?
Fall under the weight of all the pressure that's misplaced
Flaws that I embrace

Everybody sees your head’s hung low
They don't ask, they don't wanna know us
I'll be the one, I'll be your spark
I'll be your light led through the darkness
Everybody sees your head’s hung low
They don't ask, they don't wanna know us
I'll be the one, I'll be your spark
I'll be your light led through the darkness

I get
I get
I get so misunderstood

You can't just avoid the issue
You should've learned from the things we've been through
You don't know what you have until it’s lost
Till the hammer drops
Brace, fall
Brace, fall
Brace, fall
Brace, fall
Brace, fall
Brace, fall
Brace, fall
Brace, fall

Fall under the weight of all the pressure that's misplaced
Flaws that I embrace

Everybody sees your head’s hung low
They don't ask, they don't wanna know us
I'll be the one, I'll be your spark
I'll be your light led through the darkness
Everybody sees your head’s hung low
They don't ask, they don't wanna know us
I'll be the one, I'll be your spark
I'll be your light led through the darkness

I get
I get
I get so misunderstood"
A Day to Remember,City of Ocala,Common Courtesy,2013-10-08,"Fuck yeah!

Remember way back when? They said this life was a dream
Well it still is, I never wanna wake
Standing in my backyard at our old practice space
Hard to hold back the tears from streaming down my face

That was then, this is now
You can't run before you go learn how, and you won't

This is our corner of the world
Where we can come to be ignored
This is our point where we return
This is where I came from
This is where I came from

Remember way back when? This place seemed bigger to me
Learned how to play guitar, and made my mom watch me
We always knew back then, just where I'd be right now
We never questioned it, was more like when and how

That was then, this is now
You can't run before you go learn how, and you won't

This is our corner of the world
Where we can come to be ignored
This is our point where we return
This is where I came from
This is what made us who we became
Where they know me, not just my name
There's not another place the same
This is where I came from
This is where I came from
Yeah!

You had another thing coming if you were sleeping on us
Same old voices in my ear saying enough is enough
Well, I'm saying me and all my friends don't need you around
You had another thing coming if you were sleeping on us
Same old voices in my ear saying enough is enough
Well, I'm saying me and all my friends don't need you around

Oh oh oh, this is where I came from, I'm right back at it again
Oh oh oh, this is where I came from
Oh oh oh, this is where I came from, I'm right back at it again
Oh oh oh, this is where I came from

This is what made us who we became
Where they know me, not just my name
There's not another place the same
This is where I came from
This is where I came from"
