7, 'dookie', 'green day
9, 'smash', 'the offspring
1995-01-07
8, 'dookie', 'green day
9, 'smash', 'the offspring
1994-12-31
7, 'dookie', 'green day
10, 'smash', 'the offspring
1994-12-24
7, 'smash', 'the offspring
8, 'dookie', 'green day
1994-12-17
6, 'smash', 'the offspring
10, 'dookie', 'green day
1994-12-10
5, 'smash', 'the offspring
20, 'dookie', 'green day
1994-12-03
6, 'smash', 'the offspring
15, 'dookie', 'green day
1994-11-26
5, 'smash', 'the offspring
14, 'dookie', 'green day
1994-11-19
4, 'smash', 'the offspring
10, 'dookie', 'green day
1994-11-12
5, 'smash', 'the offspring
9, 'dookie', 'green day
1994-11-05
4, 'smash', 'the offspring
5, 'dookie', 'green day
1994-10-29
5, 'smash', 'the offspring
8, 'dookie', 'green day
1994-10-22
7, 'smash', 'the offspring
9, 'dookie', 'green day
189, 'stranger than fiction', 'bad religion
1994-10-15
6, 'dookie', 'green day
7, 'smash', 'the offspring
153, 'stranger than fiction', 'bad religion
1994-10-08
5, 'dookie', 'green day
7, 'smash', 'the offspring
125, 'stranger than fiction', 'bad religion
1994-10-01
4, 'dookie', 'green day
6, 'smash', 'the offspring
87, 'stranger than fiction', 'bad religion
1994-09-24
5, 'dookie', 'green day
11, 'smash', 'the offspring
1994-09-17
4, 'dookie', 'green day
9, 'smash', 'the offspring
1994-09-10
5, 'dookie', 'green day
10, 'smash', 'the offspring
1994-09-03
8, 'dookie', 'green day
11, 'smash', 'the offspring
1994-08-27
11, 'smash', 'the offspring
13, 'dookie', 'green day
1994-08-20
14, 'smash', 'the offspring
16, 'dookie', 'green day
1994-08-13
16, 'smash', 'the offspring
20, 'dookie', 'green day
1994-08-06
19, 'dookie', 'green day
20, 'smash', 'the offspring
1994-07-30
27, 'dookie', 'green day
32, 'smash', 'the offspring
1994-07-23
33, 'dookie', 'green day
36, 'smash', 'the offspring
1994-07-16
34, 'dookie', 'green day
46, 'smash', 'the offspring
1994-07-09
35, 'dookie', 'green day
54, 'smash', 'the offspring
1994-07-02
33, 'dookie', 'green day
89, 'smash', 'the offspring
1994-06-25
31, 'dookie', 'green day
116, 'smash', 'the offspring
1994-06-18
30, 'dookie', 'green day
157, 'smash', 'the offspring
1994-06-11
31, 'dookie', 'green day
187, 'smash', 'the offspring
1994-06-04
29, 'dookie', 'green day
1994-05-28
30, 'dookie', 'green day
1994-05-21
32, 'dookie', 'green day
1994-05-14
41, 'dookie', 'green day
1994-05-07
51, 'dookie', 'green day
1994-04-30
57, 'dookie', 'green day
1994-04-23
91, 'dookie', 'green day
1994-04-16
93, 'dookie', 'green day
1994-04-09
99, 'dookie', 'green day
1994-04-02
124, 'dookie', 'green day
1994-03-26
147, 'dookie', 'green day
1994-03-19
172, 'dookie', 'green day
1994-03-12
198, 'dookie', 'green day
1994-03-05
1994-02-26
127, 'dookie', 'green day
1994-02-19
1994-02-12
1994-02-05
1994-01-29
1994-01-22
1994-01-15
1994-01-08
1994-01-01
