23, 'insomniac', 'green day
104, '...and out come the wolves', 'rancid
107, 'dookie', 'green day
152, 'smash', 'the offspring
1996-01-06
22, 'insomniac', 'green day
107, 'dookie', 'green day
116, '...and out come the wolves', 'rancid
152, 'smash', 'the offspring
1995-12-30
24, 'insomniac', 'green day
111, 'dookie', 'green day
123, '...and out come the wolves', 'rancid
161, 'smash', 'the offspring
1995-12-23
25, 'insomniac', 'green day
114, 'dookie', 'green day
128, '...and out come the wolves', 'rancid
155, 'smash', 'the offspring
1995-12-16
27, 'insomniac', 'green day
117, 'dookie', 'green day
125, '...and out come the wolves', 'rancid
157, 'smash', 'the offspring
1995-12-09
25, 'insomniac', 'green day
119, 'dookie', 'green day
143, '...and out come the wolves', 'rancid
160, 'smash', 'the offspring
1995-12-02
17, 'insomniac', 'green day
117, 'dookie', 'green day
130, '...and out come the wolves', 'rancid
141, 'smash', 'the offspring
1995-11-25
14, 'insomniac', 'green day
119, 'dookie', 'green day
124, '...and out come the wolves', 'rancid
135, 'smash', 'the offspring
1995-11-18
10, 'insomniac', 'green day
103, '...and out come the wolves', 'rancid
113, 'dookie', 'green day
135, 'smash', 'the offspring
1995-11-11
6, 'insomniac', 'green day
87, '...and out come the wolves', 'rancid
101, 'dookie', 'green day
120, 'smash', 'the offspring
1995-11-04
2, 'insomniac', 'green day
87, '...and out come the wolves', 'rancid
93, 'dookie', 'green day
114, 'smash', 'the offspring
1995-10-28
75, '...and out come the wolves', 'rancid
84, 'dookie', 'green day
115, 'smash', 'the offspring
1995-10-21
73, '...and out come the wolves', 'rancid
78, 'dookie', 'green day
98, 'smash', 'the offspring
1995-10-14
62, '...and out come the wolves', 'rancid
65, 'dookie', 'green day
87, 'smash', 'the offspring
1995-10-07
58, '...and out come the wolves', 'rancid
60, 'dookie', 'green day
88, 'smash', 'the offspring
1995-09-30
53, 'dookie', 'green day
54, '...and out come the wolves', 'rancid
74, 'smash', 'the offspring
1995-09-23
61, '...and out come the wolves', 'rancid
63, 'dookie', 'green day
71, 'smash', 'the offspring
1995-09-16
45, '...and out come the wolves', 'rancid
60, 'dookie', 'green day
65, 'smash', 'the offspring
1995-09-09
55, 'dookie', 'green day
64, 'smash', 'the offspring
1995-09-02
58, 'dookie', 'green day
63, 'smash', 'the offspring
1995-08-26
53, 'dookie', 'green day
60, 'smash', 'the offspring
1995-08-19
50, 'dookie', 'green day
54, 'smash', 'the offspring
1995-08-12
46, 'dookie', 'green day
53, 'smash', 'the offspring
1995-08-05
39, 'dookie', 'green day
44, 'smash', 'the offspring
1995-07-29
41, 'dookie', 'green day
44, 'smash', 'the offspring
1995-07-22
39, 'dookie', 'green day
45, 'smash', 'the offspring
1995-07-15
31, 'dookie', 'green day
38, 'smash', 'the offspring
1995-07-08
29, 'dookie', 'green day
39, 'smash', 'the offspring
1995-07-01
27, 'dookie', 'green day
35, 'smash', 'the offspring
1995-06-24
22, 'dookie', 'green day
32, 'smash', 'the offspring
1995-06-17
22, 'dookie', 'green day
30, 'smash', 'the offspring
1995-06-10
21, 'dookie', 'green day
30, 'smash', 'the offspring
1995-06-03
17, 'dookie', 'green day
30, 'smash', 'the offspring
1995-05-27
14, 'dookie', 'green day
26, 'smash', 'the offspring
1995-05-20
12, 'dookie', 'green day
24, 'smash', 'the offspring
1995-05-13
12, 'dookie', 'green day
22, 'smash', 'the offspring
1995-05-06
11, 'dookie', 'green day
21, 'smash', 'the offspring
"179, ""let's go"", 'rancid"
1995-04-29
11, 'dookie', 'green day
22, 'smash', 'the offspring
"166, ""let's go"", 'rancid"
1995-04-22
11, 'dookie', 'green day
20, 'smash', 'the offspring
"130, ""let's go"", 'rancid"
1995-04-15
9, 'dookie', 'green day
18, 'smash', 'the offspring
"97, ""let's go"", 'rancid"
1995-04-08
10, 'dookie', 'green day
16, 'smash', 'the offspring
"112, ""let's go"", 'rancid"
1995-04-01
8, 'dookie', 'green day
14, 'smash', 'the offspring
"126, ""let's go"", 'rancid"
1995-03-25
5, 'dookie', 'green day
13, 'smash', 'the offspring
"122, ""let's go"", 'rancid"
1995-03-18
3, 'dookie', 'green day
12, 'smash', 'the offspring
"121, ""let's go"", 'rancid"
1995-03-11
3, 'dookie', 'green day
13, 'smash', 'the offspring
"134, ""let's go"", 'rancid"
1995-03-04
4, 'dookie', 'green day
10, 'smash', 'the offspring
"132, ""let's go"", 'rancid"
1995-02-25
4, 'dookie', 'green day
12, 'smash', 'the offspring
"149, ""let's go"", 'rancid"
1995-02-18
3, 'dookie', 'green day
11, 'smash', 'the offspring
1995-02-11
2, 'dookie', 'green day
9, 'smash', 'the offspring
1995-02-04
2, 'dookie', 'green day
6, 'smash', 'the offspring
199, 'stranger than fiction', 'bad religion
1995-01-28
5, 'dookie', 'green day
6, 'smash', 'the offspring
194, 'stranger than fiction', 'bad religion
1995-01-21
4, 'dookie', 'green day
6, 'smash', 'the offspring
157, 'stranger than fiction', 'bad religion
1995-01-14
7, 'dookie', 'green day
9, 'smash', 'the offspring
1995-01-07
