1997-01-04
1996-12-28
1996-12-21
1996-12-14
1996-12-07
1996-11-30
1996-11-23
1996-11-16
1996-11-09
1996-11-02
1996-10-26
1996-10-19
1996-10-12
1996-10-05
1996-09-28
1996-09-21
1996-09-14
1996-09-07
1996-08-31
1996-08-24
1996-08-17
1996-08-10
1996-08-03
1996-07-27
198, 'insomniac', 'green day
1996-07-20
175, 'insomniac', 'green day
1996-07-13
159, 'insomniac', 'green day
1996-07-06
151, 'insomniac', 'green day
1996-06-29
148, 'insomniac', 'green day
1996-06-22
137, 'insomniac', 'green day
1996-06-15
137, 'insomniac', 'green day
1996-06-08
144, 'insomniac', 'green day
1996-06-01
148, 'insomniac', 'green day
1996-05-25
140, 'insomniac', 'green day
1996-05-18
121, 'insomniac', 'green day
1996-05-11
104, 'insomniac', 'green day
190, 'smash', 'the offspring
1996-05-04
77, 'insomniac', 'green day
161, 'dookie', 'green day
163, '...and out come the wolves', 'rancid
175, 'smash', 'the offspring
1996-04-27
75, 'insomniac', 'green day
170, 'dookie', 'green day
171, '...and out come the wolves', 'rancid
179, 'smash', 'the offspring
1996-04-20
71, 'insomniac', 'green day
143, '...and out come the wolves', 'rancid
190, 'smash', 'the offspring
198, 'the gray race', 'bad religion
1996-04-13
57, 'insomniac', 'green day
134, '...and out come the wolves', 'rancid
158, 'the gray race', 'bad religion
183, 'dookie', 'green day
192, 'smash', 'the offspring
1996-04-06
52, 'insomniac', 'green day
129, 'the gray race', 'bad religion
131, '...and out come the wolves', 'rancid
168, 'smash', 'the offspring
176, 'dookie', 'green day
1996-03-30
49, 'insomniac', 'green day
100, 'the gray race', 'bad religion
122, '...and out come the wolves', 'rancid
165, 'smash', 'the offspring
173, 'dookie', 'green day
1996-03-23
41, 'insomniac', 'green day
56, 'the gray race', 'bad religion
120, '...and out come the wolves', 'rancid
172, 'smash', 'the offspring
178, 'dookie', 'green day
1996-03-16
36, 'insomniac', 'green day
96, '...and out come the wolves', 'rancid
154, 'dookie', 'green day
166, 'smash', 'the offspring
1996-03-09
37, 'insomniac', 'green day
96, '...and out come the wolves', 'rancid
152, 'dookie', 'green day
174, 'smash', 'the offspring
1996-03-02
26, 'insomniac', 'green day
79, '...and out come the wolves', 'rancid
138, 'dookie', 'green day
171, 'smash', 'the offspring
1996-02-24
25, 'insomniac', 'green day
71, '...and out come the wolves', 'rancid
130, 'dookie', 'green day
159, 'smash', 'the offspring
1996-02-17
23, 'insomniac', 'green day
67, '...and out come the wolves', 'rancid
127, 'dookie', 'green day
150, 'smash', 'the offspring
1996-02-10
23, 'insomniac', 'green day
59, '...and out come the wolves', 'rancid
117, 'dookie', 'green day
136, 'smash', 'the offspring
1996-02-03
24, 'insomniac', 'green day
59, '...and out come the wolves', 'rancid
118, 'dookie', 'green day
134, 'smash', 'the offspring
1996-01-27
22, 'insomniac', 'green day
65, '...and out come the wolves', 'rancid
104, 'dookie', 'green day
120, 'smash', 'the offspring
1996-01-20
23, 'insomniac', 'green day
65, '...and out come the wolves', 'rancid
90, 'dookie', 'green day
107, 'smash', 'the offspring
1996-01-13
23, 'insomniac', 'green day
104, '...and out come the wolves', 'rancid
107, 'dookie', 'green day
152, 'smash', 'the offspring
1996-01-06
