26, 'enema of the state', 'blink-182
140, 'americana', 'the offspring
2000-01-01
27, 'enema of the state', 'blink-182
142, 'americana', 'the offspring
1999-12-25
31, 'enema of the state', 'blink-182
143, 'americana', 'the offspring
1999-12-18
32, 'enema of the state', 'blink-182
144, 'americana', 'the offspring
1999-12-11
26, 'enema of the state', 'blink-182
135, 'americana', 'the offspring
1999-12-04
24, 'enema of the state', 'blink-182
127, 'americana', 'the offspring
1999-11-27
23, 'enema of the state', 'blink-182
114, 'americana', 'the offspring
1999-11-20
18, 'enema of the state', 'blink-182
117, 'americana', 'the offspring
1999-11-13
14, 'enema of the state', 'blink-182
92, 'americana', 'the offspring
1999-11-06
19, 'enema of the state', 'blink-182
90, 'americana', 'the offspring
1999-10-30
20, 'enema of the state', 'blink-182
87, 'americana', 'the offspring
1999-10-23
22, 'enema of the state', 'blink-182
88, 'americana', 'the offspring
1999-10-16
24, 'enema of the state', 'blink-182
82, 'americana', 'the offspring
1999-10-09
37, 'enema of the state', 'blink-182
74, 'americana', 'the offspring
1999-10-02
29, 'enema of the state', 'blink-182
63, 'americana', 'the offspring
1999-09-25
32, 'enema of the state', 'blink-182
61, 'americana', 'the offspring
1999-09-18
28, 'enema of the state', 'blink-182
58, 'americana', 'the offspring
1999-09-11
22, 'enema of the state', 'blink-182
52, 'americana', 'the offspring
1999-09-04
19, 'enema of the state', 'blink-182
47, 'americana', 'the offspring
1999-08-28
18, 'enema of the state', 'blink-182
41, 'americana', 'the offspring
1999-08-21
17, 'enema of the state', 'blink-182
41, 'americana', 'the offspring
1999-08-14
14, 'enema of the state', 'blink-182
40, 'americana', 'the offspring
1999-08-07
17, 'enema of the state', 'blink-182
46, 'americana', 'the offspring
1999-07-31
20, 'enema of the state', 'blink-182
41, 'americana', 'the offspring
1999-07-24
22, 'enema of the state', 'blink-182
36, 'americana', 'the offspring
1999-07-17
20, 'enema of the state', 'blink-182
30, 'americana', 'the offspring
1999-07-10
21, 'enema of the state', 'blink-182
28, 'americana', 'the offspring
1999-07-03
14, 'enema of the state', 'blink-182
20, 'americana', 'the offspring
1999-06-26
9, 'enema of the state', 'blink-182
16, 'americana', 'the offspring
1999-06-19
17, 'americana', 'the offspring
1999-06-12
17, 'americana', 'the offspring
1999-06-05
15, 'americana', 'the offspring
1999-05-29
12, 'americana', 'the offspring
1999-05-22
8, 'americana', 'the offspring
1999-05-15
7, 'americana', 'the offspring
1999-05-08
9, 'americana', 'the offspring
1999-05-01
8, 'americana', 'the offspring
1999-04-24
5, 'americana', 'the offspring
1999-04-17
6, 'americana', 'the offspring
1999-04-10
7, 'americana', 'the offspring
1999-04-03
9, 'americana', 'the offspring
1999-03-27
9, 'americana', 'the offspring
1999-03-20
10, 'americana', 'the offspring
1999-03-13
3, 'americana', 'the offspring
1999-03-06
2, 'americana', 'the offspring
1999-02-27
3, 'americana', 'the offspring
1999-02-20
4, 'americana', 'the offspring
1999-02-13
4, 'americana', 'the offspring
1999-02-06
4, 'americana', 'the offspring
1999-01-30
4, 'americana', 'the offspring
1999-01-23
2, 'americana', 'the offspring
1999-01-16
8, 'americana', 'the offspring
1999-01-09
9, 'americana', 'the offspring
1999-01-02
