ranking,album,artist,date,,
45,...and out come the wolves,rancid,9/9/1995,,
54,...and out come the wolves,rancid,9/23/1995,,
58,...and out come the wolves,rancid,9/30/1995,,
59,...and out come the wolves,rancid,2/3/1996,,
59,...and out come the wolves,rancid,1/27/1996,,
61,...and out come the wolves,rancid,9/16/1995,,
62,...and out come the wolves,rancid,10/7/1995,,
65,...and out come the wolves,rancid,1/20/1996,,
65,...and out come the wolves,rancid,1/13/1996,,
67,...and out come the wolves,rancid,2/10/1996,,
71,...and out come the wolves,rancid,2/17/1996,,
73,...and out come the wolves,rancid,10/14/1995,,
75,...and out come the wolves,rancid,10/21/1995,,
79,...and out come the wolves,rancid,2/24/1996,,
87,...and out come the wolves,rancid,11/4/1995,,
87,...and out come the wolves,rancid,10/28/1995,,
96,...and out come the wolves,rancid,3/9/1996,,
96,...and out come the wolves,rancid,3/2/1996,,
103,...and out come the wolves,rancid,11/11/1995,,
104,...and out come the wolves,rancid,1/6/1996,,
104,...and out come the wolves,rancid,1/6/1996,,
116,...and out come the wolves,rancid,12/30/1995,,
120,...and out come the wolves,rancid,3/16/1996,,
122,...and out come the wolves,rancid,3/23/1996,,
123,...and out come the wolves,rancid,12/23/1995,,
124,...and out come the wolves,rancid,11/18/1995,,
125,...and out come the wolves,rancid,12/9/1995,,
128,...and out come the wolves,rancid,12/16/1995,,
130,...and out come the wolves,rancid,11/25/1995,,
131,...and out come the wolves,rancid,3/30/1996,,
134,...and out come the wolves,rancid,4/6/1996,,
143,...and out come the wolves,rancid,4/13/1996,,
143,...and out come the wolves,rancid,12/2/1995,,
163,...and out come the wolves,rancid,4/27/1996,,
171,...and out come the wolves,rancid,4/20/1996,,
22,13 voices,sum 41,10/29/2016,,
1,21st century breakdown,green day,5/30/2009,,
2,21st century breakdown,green day,6/13/2009,,
2,21st century breakdown,green day,6/6/2009,,
5,21st century breakdown,green day,6/20/2009,,
8,21st century breakdown,green day,6/27/2009,,
9,21st century breakdown,green day,7/4/2009,,
14,21st century breakdown,green day,7/11/2009,,
16,21st century breakdown,green day,7/25/2009,,
16,21st century breakdown,green day,7/18/2009,,
20,21st century breakdown,green day,8/8/2009,,
21,21st century breakdown,green day,8/1/2009,,
22,21st century breakdown,green day,8/15/2009,,
28,21st century breakdown,green day,8/29/2009,,
28,21st century breakdown,green day,8/22/2009,,
36,21st century breakdown,green day,9/5/2009,,
49,21st century breakdown,green day,9/12/2009,,
54,21st century breakdown,green day,10/3/2009,,
57,21st century breakdown,green day,10/10/2009,,
57,21st century breakdown,green day,9/19/2009,,
59,21st century breakdown,green day,9/26/2009,,
69,21st century breakdown,green day,10/17/2009,,
84,21st century breakdown,green day,2/20/2010,,
90,21st century breakdown,green day,11/7/2009,,
96,21st century breakdown,green day,10/24/2009,,
97,21st century breakdown,green day,10/31/2009,,
128,21st century breakdown,green day,11/14/2009,,
136,21st century breakdown,green day,1/9/2010,,
141,21st century breakdown,green day,1/16/2010,,
141,21st century breakdown,green day,11/21/2009,,
150,21st century breakdown,green day,11/28/2009,,
155,21st century breakdown,green day,2/27/2010,,
159,21st century breakdown,green day,1/2/2010,,
160,21st century breakdown,green day,1/23/2010,,
169,21st century breakdown,green day,2/13/2010,,
184,21st century breakdown,green day,3/6/2010,,
188,21st century breakdown,green day,1/30/2010,,
