artist,title,album,date,lyrics
Lifetime,Isae Aldy Beausoleil,Tinnitus,01/01/1994,"I want to be the cutest boy in the world, I want to make everybody love me
I'm in a kickass band, we have lots of fans(lots of fans!)
Now you tell me that I'm gonna have to justify what I'm thinking and what I'm feeling, I don't need your money to know I'm right
I don't need you to subsidize my fight
Because I'm feeling quite Isae Beausoliel, tonight
All my life it's been driven into my skull
Be successful, be happy, be beautiful. All my life it's been driven into my skull and you wonder why I'm such an asshole"
Lifetime,Starsixtynine,Tinnitus,01/01/1994,"Sometimes it feels right but mostly less than said
You feel the right to ask ""are you depressed again?""
Sometimes and even though I smile I'd rather feel like shit
I'm sure you know just what I mean"
Lagwagon,Island Of Shame,Trashed,01/04/1994,"And it's prejudice
As if he chose to be this way
They'll make him keep more than he would take
One summer morning
He left us ashamed
In some small town of small ways
The one they feared
They might turn to stone
They feared to hold his hand
And he died alone
He died alone
They might turn to stone... alone
Don't leave them on an island of shame
Your solution
You homophobic
You coward
You send them away to an island of misery
You're not immune to any disease
I can not argue when the truth is plain to see
In your beliefs, your fear of death
I see reflections of society
We'll take our last breath alone
Don't leave them on an island of shame
Open your eyes
It's all in sight
Adding insult to injury
'Cause deep inside
The truth in lies
It's not that blind
He was alone
And it's prejudice
As if he chose to be this way
They'll make him keep more than he would take
It's prejudice
Yes it's prejudice
As if he chose to be this way
They'll make him keep more than he would take
They like to stabb him in the back"
Lagwagon,Know It All,Trashed,01/04/1994,"Look at the world in disbelief
You used to follow; now you lead
College has enlightened you
And you are proud to be different
And like different bands, different types
You ain't nobody's fool

It's like certain bands remind you of someone you hated
Cause they didn't wear the right clothing
And there's only one true fashion
And a lot of the bands on the college charts are great bands
Until they get signed; then you hate them
It's such bullshit
You used to love them, you hypocrite!

Know it all
Know it all
Did you really listen to that song?
Could you ever write what you call wrong?

I remember you and I
Listening to bands that we liked
Only the songs mattered to you
But now you're a DJ and preaching that hype
""Coporate Rock Sucks,"" you know
""College Radio Enlightens You.""

It's supposed to serve as a means to expose new bands without prejudice
But it makes no sense
""Safe Harbor for the Underground""
'Til the alternative becomes the popular sound
The bands are good 'til they make enough cash to eat food
And get a pad, then ""they sold out""
And ""their music's cliche,""
Because talent's exclusive to bands without pay!

Know it all
Know it all
Did you really listen to that song?
Could you ever write what you call wrong?
Know it all!"
Green Day,Burnout,Dookie,02/01/1994,"I declare I don't care no more
I'm burning up and out and growing bored
In my smoked out boring room
My hair is shagging in my eyes
Dragging my feet to hit the street tonight
To drive along these shit town lights

I'm not growing up
I'm just burning out
And I stepped in line
To walk amongst the dead

Apathy has rained on me
Now I'm feeling like a soggy dream
So close to drowning but I don't mind
I've lived inside this mental cave
Throw my emotions in the grave
Hell, who needs them anyway

I'm not growing up
I'm just burning out
And I stepped in line
To walk amongst the dead
I'm not growing up
I'm just burning out
And I stepped in line
To walk amongst the dead
Dead


I'm not growing up
I'm just burning out
And I stepped in line
To walk amongst the dead
I'm not growing up
I'm just burning out
And I stepped in line
To walk amongst the dead
Dead"
Green Day,Coming Clean,Dookie,02/01/1994,"Seventeen and strung out on confusion
Trapped inside a roll of disillusion
I've found out what it takes to be a man
Well, mom and dad'll never understand

Secrets collecting dust but never forget
Skeletons come to life in my closet
I've found out what it takes to be a man
Well, mom and dad'll never understand
What's happening to me

Seventeen and coming clean for the first time
I finally figured out myself for the first time
I've found out what it takes to be a man
Well, mom and dad'll never understand
What's happening to me"
Green Day,F.O.D,Dookie,02/01/1994,"Something's on my mind
It's been for quite some time
This time I'm on to you
So where's the other face?
The face I heard before
Your head trip's boring me

Let's nuke the bridge we torched two thousand times before
This time we'll blast it all to hell
I've had this burning in my guts now for so long
My belly's aching now to say

Stuck down in a rut of dis-logic and smut
A side of you well hid
When it's all said and done, it's real and it's been fun
But was it all real fun?

Let's nuke the bridge we torched two thousand times before
This time we'll blast it all to hell
I've had this burning in my guts now for so long
My belly's aching now to say
To say

You're just
A fuck
I can't explain it 'cause I think you suck
I'm taking pride
In telling you to fuck off and die

I've had this burning in my guts now for so long
My belly's aching now to say
I'm taking pleasure in announcing this to you
So listen up 'cause you might miss

You're just
A fuck
I can't explain it 'cause I think you suck
I'm taking pride
In telling you to fuck off and die

Good night"
Green Day,Having a Blast,Dookie,02/01/1994,"I'm taking all you down with me
Explosives duct taped to my spine
Nothing's gonna change my mind
I won't listen to anyone's last words
There's nothing left for you to say
Soon you'll be dead anyway

No one here is getting out alive
This time I've really lost my mind and I don't care
So close your eyes and kiss yourself goodbye
And think about the times you spent and what they've meant
To me it's nothing
To me it's nothing
To me it's nothing
To me it's nothing

I'm losing all my happiness
The happiness you pinned on me
Loneliness still comforts me
My anger dwells inside of me
I'm taking it all out on you
And all the shit you put me through

Well no one here is getting out alive
This time I've really lost my mind and I don't care
So close your eyes and kiss yourself goodbye
And think about the times you spent and what they've meant
To me it's nothing
To me it's nothing
To me it's nothing
To me it's nothing

Do you ever think back to another time?
Does it bring you so down that you thought you lost your mind?
Do you ever want to lead a long trail of destruction
And mow down any bullshit that confronts you?
Do you ever build up all the small things in your head?
To make one problem that adds up to nothing
To me it's nothing
To me it's nothing
To me it's nothing"
Green Day,Longview,Dookie,02/01/1994,"I sit around and watch the tube, but nothin's on
I change the channels for an hour or two
Twiddle my thumbs just for a bit
I'm sick of all the same old shit
In a house with unlocked doors
And I'm fuckin' lazy

Bite my lip and close my eyes
Take me away to paradise
I'm so damn bored, I'm going blind
And I smell like shit

Peel me off this Velcro seat and get me moving
I sure as hell can't do it by myself
I'm feeling like a dog in heat
Barred indoors from the summer street
I locked the door to my own cell
And I lost the key

Bite my lip and close my eyes
Take me away to paradise
I'm so damn bored, I'm going blind
And I smell like shit

I got no motivation
Where is my motivation?
No time for motivation
Smoking my inspiration

I sit around and watch the phone, but no one's calling
Call me pathetic, call me what you will
My mother says to get a job
But she don't like the one she's got
When masturbation's lost its fun
You're fucking lonely

Bite my lip and close my eyes
Take me away to paradise
I'm so damn bored, I'm going blind
And loneliness has to suffice

Bite my lip and close my eyes
I'm slipping away to paradise
Some say quit or I'll go blind
But it's just a myth"
Lagwagon,Bye For Now,Trashed,02/04/1994,"- You're not forgetting about tonight, are you? I left your name on the door and everything
- There are not gonna be too many punks?
- John would you stop worrying about the punks? They're just a bunch of kids with growing pangs, and they'll probably be doctors and lawyers someday

I fear to see the day
My friends all mate and move away
Will I grow up inside?
Won't ever happen to me
The city sights
The business types
I can see them, where are you?

Bye for now
I didn't mean to let you down
I didn't mean to drive you away
Bye for now
Now that you're not around
So many things I'd like to say

I see you and I think
Have I found the missing link
The piece that holds us together
If I had my way
I'd hear you say that it's okay
Friendship should last forever

Bye for now
I didn't mean to let you down
I didn't mean to drive you away
Bye for now
Now that you're not around
So many things I'd like to say
I didn't mean to let you down
Never meant to let you down
I didn't mean to let you down"
