document_tone/tones/0/score,document_tone/tones/0/tone_id,document_tone/tones/0/tone_name,document_tone/tones/1/score,document_tone/tones/1/tone_id,document_tone/tones/1/tone_name,document_tone/tones/2/score,document_tone/tones/2/tone_id,document_tone/tones/2/tone_name,document_tone/tones/3/score,document_tone/tones/3/tone_id,document_tone/tones/3/tone_name,document_tone/tones/4/score,document_tone/tones/4/tone_id,document_tone/tones/4/tone_name
0.794699,joy,Joy,,,,,,,,,,,,
0.89928,sadness,Sadness,0.976799,tentative,Tentative,0.802429,analytical,Analytical,,,,,,
0.60146,sadness,Sadness,,,,,,,,,,,,
0.592872,joy,Joy,0.548588,confident,Confident,0.825057,analytical,Analytical,,,,,,
0.774541,tentative,Tentative,,,,,,,,,,,,
0.526613,joy,Joy,0.59538,confident,Confident,0.815371,analytical,Analytical,,,,,,
0.621316,anger,Anger,,,,,,,,,,,,
0.676258,anger,Anger,0.723448,confident,Confident,,,,,,,,,
0.59651,sadness,Sadness,0.781424,tentative,Tentative,,,,,,,,,
0.592397,fear,Fear,0.533578,sadness,Sadness,0.609084,tentative,Tentative,,,,,,
0.558192,anger,Anger,0.642621,tentative,Tentative,,,,,,,,,
0.597146,sadness,Sadness,0.924648,tentative,Tentative,0.567796,analytical,Analytical,,,,,,
0.549929,joy,Joy,,,,,,,,,,,,
0.706069,anger,Anger,0.900741,confident,Confident,,,,,,,,,
0.521719,anger,Anger,0.634176,sadness,Sadness,0.805589,tentative,Tentative,,,,,,
0.547507,sadness,Sadness,0.643877,anger,Anger,0.605195,joy,Joy,0.670722,fear,Fear,,,
0.510085,anger,Anger,0.717496,tentative,Tentative,,,,,,,,,
0.590325,sadness,Sadness,,,,,,,,,,,,
0.826333,tentative,Tentative,,,,,,,,,,,,
0.757755,sadness,Sadness,0.761735,fear,Fear,0.597465,confident,Confident,,,,,,
0.614024,tentative,Tentative,,,,,,,,,,,,
,,,,,,,,,,,,,,
0.586572,anger,Anger,,,,,,,,,,,,
0.714242,tentative,Tentative,,,,,,,,,,,,
0.793008,tentative,Tentative,0.568922,analytical,Analytical,,,,,,,,,
0.607606,analytical,Analytical,0.831111,tentative,Tentative,,,,,,,,,
0.772972,joy,Joy,0.708147,tentative,Tentative,,,,,,,,,
0.631805,anger,Anger,0.502506,sadness,Sadness,0.756745,tentative,Tentative,,,,,,
0.601123,anger,Anger,0.920656,tentative,Tentative,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
0.513395,joy,Joy,0.846276,confident,Confident,,,,,,,,,
0.82322,anger,Anger,,,,,,,,,,,,
