document_tone/tone_categories/0/tones/0/score,document_tone/tone_categories/0/tones/0/tone_id,document_tone/tone_categories/0/tones/0/tone_name,document_tone/tone_categories/0/tones/1/score,document_tone/tone_categories/0/tones/1/tone_id,document_tone/tone_categories/0/tones/1/tone_name,document_tone/tone_categories/0/tones/2/score,document_tone/tone_categories/0/tones/2/tone_id,document_tone/tone_categories/0/tones/2/tone_name,document_tone/tone_categories/0/tones/3/score,document_tone/tone_categories/0/tones/3/tone_id,document_tone/tone_categories/0/tones/3/tone_name,document_tone/tone_categories/0/tones/4/score,document_tone/tone_categories/0/tones/4/tone_id,document_tone/tone_categories/0/tones/4/tone_name,document_tone/tone_categories/0/category_id,document_tone/tone_categories/0/category_name,document_tone/tone_categories/1/tones/0/score,document_tone/tone_categories/1/tones/0/tone_id,document_tone/tone_categories/1/tones/0/tone_name,document_tone/tone_categories/1/tones/1/score,document_tone/tone_categories/1/tones/1/tone_id,document_tone/tone_categories/1/tones/1/tone_name,document_tone/tone_categories/1/tones/2/score,document_tone/tone_categories/1/tones/2/tone_id,document_tone/tone_categories/1/tones/2/tone_name,document_tone/tone_categories/1/category_id,document_tone/tone_categories/1/category_name,document_tone/tone_categories/2/tones/0/score,document_tone/tone_categories/2/tones/0/tone_id,document_tone/tone_categories/2/tones/0/tone_name,document_tone/tone_categories/2/tones/1/score,document_tone/tone_categories/2/tones/1/tone_id,document_tone/tone_categories/2/tones/1/tone_name,document_tone/tone_categories/2/tones/2/score,document_tone/tone_categories/2/tones/2/tone_id,document_tone/tone_categories/2/tones/2/tone_name,document_tone/tone_categories/2/tones/3/score,document_tone/tone_categories/2/tones/3/tone_id,document_tone/tone_categories/2/tones/3/tone_name,document_tone/tone_categories/2/tones/4/score,document_tone/tone_categories/2/tones/4/tone_id,document_tone/tone_categories/2/tones/4/tone_name,document_tone/tone_categories/2/category_id,document_tone/tone_categories/2/category_name
0.136597,anger,Anger,0.038093,disgust,Disgust,0.008937,fear,Fear,0.794699,joy,Joy,0.062557,sadness,Sadness,emotion_tone,Emotion Tone,0.045259,analytical,Analytical,0.188391,confident,Confident,0,tentative,Tentative,language_tone,Language Tone,0.277196,openness_big5,Openness,0.006582,conscientiousness_big5,Conscientiousness,0.433793,extraversion_big5,Extraversion,0.934746,agreeableness_big5,Agreeableness,0.000044,emotional_range_big5,Emotional Range,social_tone,Social Tone
0.099206,anger,Anger,0.021368,disgust,Disgust,0.089338,fear,Fear,0.03578,joy,Joy,0.89928,sadness,Sadness,emotion_tone,Emotion Tone,0.802429,analytical,Analytical,0,confident,Confident,0.976799,tentative,Tentative,language_tone,Language Tone,0.151551,openness_big5,Openness,0.024943,conscientiousness_big5,Conscientiousness,0.002537,extraversion_big5,Extraversion,0.85895,agreeableness_big5,Agreeableness,0.000301,emotional_range_big5,Emotional Range,social_tone,Social Tone
0.175293,anger,Anger,0.115634,disgust,Disgust,0.438072,fear,Fear,0.014355,joy,Joy,0.60146,sadness,Sadness,emotion_tone,Emotion Tone,0.31392,analytical,Analytical,0,confident,Confident,0.432141,tentative,Tentative,language_tone,Language Tone,0.712242,openness_big5,Openness,0.214029,conscientiousness_big5,Conscientiousness,0.001449,extraversion_big5,Extraversion,0.702307,agreeableness_big5,Agreeableness,0.289857,emotional_range_big5,Emotional Range,social_tone,Social Tone
0.181364,anger,Anger,0.139306,disgust,Disgust,0.097679,fear,Fear,0.592872,joy,Joy,0.192545,sadness,Sadness,emotion_tone,Emotion Tone,0.825057,analytical,Analytical,0.548588,confident,Confident,0,tentative,Tentative,language_tone,Language Tone,0.757068,openness_big5,Openness,0.34634,conscientiousness_big5,Conscientiousness,0.63396,extraversion_big5,Extraversion,0.771016,agreeableness_big5,Agreeableness,0.693884,emotional_range_big5,Emotional Range,social_tone,Social Tone
0.413987,anger,Anger,0.158476,disgust,Disgust,0.334881,fear,Fear,0.00673,joy,Joy,0.484888,sadness,Sadness,emotion_tone,Emotion Tone,0,analytical,Analytical,0,confident,Confident,0.774541,tentative,Tentative,language_tone,Language Tone,0.274546,openness_big5,Openness,0,conscientiousness_big5,Conscientiousness,0.003809,extraversion_big5,Extraversion,0.005764,agreeableness_big5,Agreeableness,0.000002,emotional_range_big5,Emotional Range,social_tone,Social Tone
0.058849,anger,Anger,0.024316,disgust,Disgust,0.043987,fear,Fear,0.526613,joy,Joy,0.383603,sadness,Sadness,emotion_tone,Emotion Tone,0.815371,analytical,Analytical,0.59538,confident,Confident,0,tentative,Tentative,language_tone,Language Tone,0.124385,openness_big5,Openness,0.108048,conscientiousness_big5,Conscientiousness,0.065269,extraversion_big5,Extraversion,0.762286,agreeableness_big5,Agreeableness,0.13315,emotional_range_big5,Emotional Range,social_tone,Social Tone
0.621316,anger,Anger,0.083474,disgust,Disgust,0.135491,fear,Fear,0.0087,joy,Joy,0.4899,sadness,Sadness,emotion_tone,Emotion Tone,0,analytical,Analytical,0,confident,Confident,0.026795,tentative,Tentative,language_tone,Language Tone,0.076747,openness_big5,Openness,0.232616,conscientiousness_big5,Conscientiousness,0.142981,extraversion_big5,Extraversion,0.711328,agreeableness_big5,Agreeableness,0.09505,emotional_range_big5,Emotional Range,social_tone,Social Tone
0.676258,anger,Anger,0.0631,disgust,Disgust,0.050456,fear,Fear,0.032801,joy,Joy,0.450786,sadness,Sadness,emotion_tone,Emotion Tone,0.031934,analytical,Analytical,0.723448,confident,Confident,0,tentative,Tentative,language_tone,Language Tone,0.081742,openness_big5,Openness,0.448289,conscientiousness_big5,Conscientiousness,0.285729,extraversion_big5,Extraversion,0.883736,agreeableness_big5,Agreeableness,0.021,emotional_range_big5,Emotional Range,social_tone,Social Tone
0.480035,anger,Anger,0.156432,disgust,Disgust,0.114847,fear,Fear,0.006839,joy,Joy,0.59651,sadness,Sadness,emotion_tone,Emotion Tone,0,analytical,Analytical,0,confident,Confident,0.781424,tentative,Tentative,language_tone,Language Tone,0.110909,openness_big5,Openness,0.000497,conscientiousness_big5,Conscientiousness,0.093324,extraversion_big5,Extraversion,0.144532,agreeableness_big5,Agreeableness,0.00006,emotional_range_big5,Emotional Range,social_tone,Social Tone
0.186832,anger,Anger,0.17641,disgust,Disgust,0.592397,fear,Fear,0.098954,joy,Joy,0.533578,sadness,Sadness,emotion_tone,Emotion Tone,0.004198,analytical,Analytical,0,confident,Confident,0.609084,tentative,Tentative,language_tone,Language Tone,0.137987,openness_big5,Openness,0.603565,conscientiousness_big5,Conscientiousness,0.160253,extraversion_big5,Extraversion,0.96946,agreeableness_big5,Agreeableness,0.391385,emotional_range_big5,Emotional Range,social_tone,Social Tone
0.558192,anger,Anger,0.229309,disgust,Disgust,0.035725,fear,Fear,0.2901,joy,Joy,0.082757,sadness,Sadness,emotion_tone,Emotion Tone,0,analytical,Analytical,0,confident,Confident,0.642621,tentative,Tentative,language_tone,Language Tone,0.232038,openness_big5,Openness,0.016578,conscientiousness_big5,Conscientiousness,0.566987,extraversion_big5,Extraversion,0.10113,agreeableness_big5,Agreeableness,0.691188,emotional_range_big5,Emotional Range,social_tone,Social Tone
0.138674,anger,Anger,0.003495,disgust,Disgust,0.04299,fear,Fear,0.019086,joy,Joy,0.597146,sadness,Sadness,emotion_tone,Emotion Tone,0.567796,analytical,Analytical,0,confident,Confident,0.924648,tentative,Tentative,language_tone,Language Tone,0.216133,openness_big5,Openness,0.181965,conscientiousness_big5,Conscientiousness,0.070877,extraversion_big5,Extraversion,0.825086,agreeableness_big5,Agreeableness,0.104599,emotional_range_big5,Emotional Range,social_tone,Social Tone
0.07491,anger,Anger,0.097201,disgust,Disgust,0.077006,fear,Fear,0.549929,joy,Joy,0.307074,sadness,Sadness,emotion_tone,Emotion Tone,0.277688,analytical,Analytical,0,confident,Confident,0.345617,tentative,Tentative,language_tone,Language Tone,0.256033,openness_big5,Openness,0.91014,conscientiousness_big5,Conscientiousness,0.301249,extraversion_big5,Extraversion,0.647319,agreeableness_big5,Agreeableness,0.886083,emotional_range_big5,Emotional Range,social_tone,Social Tone
0.706069,anger,Anger,0.174683,disgust,Disgust,0.134155,fear,Fear,0.022324,joy,Joy,0.267849,sadness,Sadness,emotion_tone,Emotion Tone,0,analytical,Analytical,0.900741,confident,Confident,0,tentative,Tentative,language_tone,Language Tone,0.639047,openness_big5,Openness,0.0503,conscientiousness_big5,Conscientiousness,0.950766,extraversion_big5,Extraversion,0.521454,agreeableness_big5,Agreeableness,0.268285,emotional_range_big5,Emotional Range,social_tone,Social Tone
0.521719,anger,Anger,0.096518,disgust,Disgust,0.199832,fear,Fear,0.465852,joy,Joy,0.634176,sadness,Sadness,emotion_tone,Emotion Tone,0,analytical,Analytical,0,confident,Confident,0.805589,tentative,Tentative,language_tone,Language Tone,0.703335,openness_big5,Openness,0.008597,conscientiousness_big5,Conscientiousness,0.458225,extraversion_big5,Extraversion,0.357539,agreeableness_big5,Agreeableness,0.101297,emotional_range_big5,Emotional Range,social_tone,Social Tone
0.643877,anger,Anger,0.025861,disgust,Disgust,0.670722,fear,Fear,0.605195,joy,Joy,0.547507,sadness,Sadness,emotion_tone,Emotion Tone,0,analytical,Analytical,0,confident,Confident,0.49678,tentative,Tentative,language_tone,Language Tone,0.460229,openness_big5,Openness,0.817367,conscientiousness_big5,Conscientiousness,0.612066,extraversion_big5,Extraversion,0.959092,agreeableness_big5,Agreeableness,0.156306,emotional_range_big5,Emotional Range,social_tone,Social Tone
0.510085,anger,Anger,0.015682,disgust,Disgust,0.337411,fear,Fear,0.106607,joy,Joy,0.326685,sadness,Sadness,emotion_tone,Emotion Tone,0,analytical,Analytical,0,confident,Confident,0.717496,tentative,Tentative,language_tone,Language Tone,0.317691,openness_big5,Openness,0.06786,conscientiousness_big5,Conscientiousness,0.05675,extraversion_big5,Extraversion,0.829985,agreeableness_big5,Agreeableness,0.12214,emotional_range_big5,Emotional Range,social_tone,Social Tone
0.31836,anger,Anger,0.07783,disgust,Disgust,0.361269,fear,Fear,0.011859,joy,Joy,0.590325,sadness,Sadness,emotion_tone,Emotion Tone,0.026617,analytical,Analytical,0,confident,Confident,0.379737,tentative,Tentative,language_tone,Language Tone,0.099404,openness_big5,Openness,0.151974,conscientiousness_big5,Conscientiousness,0.045591,extraversion_big5,Extraversion,0.547459,agreeableness_big5,Agreeableness,0.196981,emotional_range_big5,Emotional Range,social_tone,Social Tone
0.356414,anger,Anger,0.050967,disgust,Disgust,0.10334,fear,Fear,0.26851,joy,Joy,0.432743,sadness,Sadness,emotion_tone,Emotion Tone,0,analytical,Analytical,0,confident,Confident,0.826333,tentative,Tentative,language_tone,Language Tone,0.023513,openness_big5,Openness,0.093797,conscientiousness_big5,Conscientiousness,0.125307,extraversion_big5,Extraversion,0.956145,agreeableness_big5,Agreeableness,0.055001,emotional_range_big5,Emotional Range,social_tone,Social Tone
0.142023,anger,Anger,0.740431,disgust,Disgust,0.761735,fear,Fear,0.025192,joy,Joy,0.757755,sadness,Sadness,emotion_tone,Emotion Tone,0,analytical,Analytical,0.597465,confident,Confident,0,tentative,Tentative,language_tone,Language Tone,0.098172,openness_big5,Openness,0.000415,conscientiousness_big5,Conscientiousness,0.067075,extraversion_big5,Extraversion,0.587068,agreeableness_big5,Agreeableness,0.000033,emotional_range_big5,Emotional Range,social_tone,Social Tone
0.146768,anger,Anger,0.033437,disgust,Disgust,0.290094,fear,Fear,0.293032,joy,Joy,0.436661,sadness,Sadness,emotion_tone,Emotion Tone,0,analytical,Analytical,0,confident,Confident,0.614024,tentative,Tentative,language_tone,Language Tone,0.089052,openness_big5,Openness,0.021376,conscientiousness_big5,Conscientiousness,0.005074,extraversion_big5,Extraversion,0.297794,agreeableness_big5,Agreeableness,0.38372,emotional_range_big5,Emotional Range,social_tone,Social Tone
0.494922,anger,Anger,0.395692,disgust,Disgust,0.102831,fear,Fear,0.114061,joy,Joy,0.228526,sadness,Sadness,emotion_tone,Emotion Tone,0.008017,analytical,Analytical,0.406663,confident,Confident,0,tentative,Tentative,language_tone,Language Tone,0.760728,openness_big5,Openness,0.55367,conscientiousness_big5,Conscientiousness,0.853934,extraversion_big5,Extraversion,0.949574,agreeableness_big5,Agreeableness,0.673062,emotional_range_big5,Emotional Range,social_tone,Social Tone
0.586572,anger,Anger,0.184922,disgust,Disgust,0.111126,fear,Fear,0.092089,joy,Joy,0.328058,sadness,Sadness,emotion_tone,Emotion Tone,0,analytical,Analytical,0,confident,Confident,0.149154,tentative,Tentative,language_tone,Language Tone,0.38522,openness_big5,Openness,0.837741,conscientiousness_big5,Conscientiousness,0.892916,extraversion_big5,Extraversion,0.516008,agreeableness_big5,Agreeableness,0.796139,emotional_range_big5,Emotional Range,social_tone,Social Tone
0.416424,anger,Anger,0.011384,disgust,Disgust,0.123302,fear,Fear,0.009885,joy,Joy,0.109339,sadness,Sadness,emotion_tone,Emotion Tone,0,analytical,Analytical,0,confident,Confident,0.714242,tentative,Tentative,language_tone,Language Tone,0.215032,openness_big5,Openness,0.406201,conscientiousness_big5,Conscientiousness,0.092867,extraversion_big5,Extraversion,0.579021,agreeableness_big5,Agreeableness,0.300854,emotional_range_big5,Emotional Range,social_tone,Social Tone
0.128742,anger,Anger,0.091333,disgust,Disgust,0.091804,fear,Fear,0.320768,joy,Joy,0.482883,sadness,Sadness,emotion_tone,Emotion Tone,0.568922,analytical,Analytical,0,confident,Confident,0.793008,tentative,Tentative,language_tone,Language Tone,0.449592,openness_big5,Openness,0.935035,conscientiousness_big5,Conscientiousness,0.26149,extraversion_big5,Extraversion,0.932714,agreeableness_big5,Agreeableness,0.838676,emotional_range_big5,Emotional Range,social_tone,Social Tone
0.417997,anger,Anger,0.118878,disgust,Disgust,0.477328,fear,Fear,0.004517,joy,Joy,0.378647,sadness,Sadness,emotion_tone,Emotion Tone,0.607606,analytical,Analytical,0,confident,Confident,0.831111,tentative,Tentative,language_tone,Language Tone,0.47106,openness_big5,Openness,0.0026,conscientiousness_big5,Conscientiousness,0.002301,extraversion_big5,Extraversion,0.155027,agreeableness_big5,Agreeableness,0.000274,emotional_range_big5,Emotional Range,social_tone,Social Tone
